model,lead_group,stratum_type,stratum,n,coverage68,wilson68_lo,wilson68_hi,coverage90,wilson90_lo,wilson90_hi,truth
gfs_seamless,all,forecast_bin,0 < f < 10,750,0.49733333333333335,0.46165483514276845,0.5330390093614381,0.9426666666666667,0.9236627838127062,0.9571590284890196,grid
gfs_seamless,all,forecast_bin,f >= 10,761,0.2536136662286465,0.22399228434528806,0.2857100263159331,0.6517739816031537,0.6172400471674026,0.6847833294652851,grid
gfs_seamless,all,city_group,Centre-south,1617,0.6128633271490415,0.588881038622351,0.6363106345052126,0.8998144712430427,0.884219261205618,0.9135145288051755,grid
gfs_seamless,all,city_group,Coquimbo coast,294,0.7551020408163265,0.7028638941888896,0.8007597469368481,0.8979591836734694,0.8580681539584125,0.9275847261977384,grid
gfs_seamless,all,city_group,Coquimbo interior,1029,0.7648202137998056,0.7379516101336817,0.7897189198528923,0.9047619047619048,0.8852911914115351,0.9212217470817059,grid
gfs_seamless,1-3,all,all cases,1323,0.6810279667422524,0.6554201228410927,0.7055875897185229,0.9002267573696145,0.8829006358710266,0.915235413399606,grid
gfs_seamless,1-3,forecast_bin,f = 0,668,0.9955089820359282,0.9868800179501246,0.9984714980196053,1.0,0.9942821943622048,0.9999999999999999,grid
gfs_seamless,1-3,forecast_bin,0 < f < 10,270,0.5666666666666667,0.5070327612348828,0.6244301667931378,0.9666666666666667,0.9378745696070532,0.9823659265890916,grid
gfs_seamless,1-3,forecast_bin,f >= 10,385,0.21558441558441557,0.1774240944773096,0.25936435747926156,0.6805194805194805,0.6323566352093846,0.7251155345533398,grid
gfs_seamless,1-3,city_group,Centre-south,693,0.6190476190476191,0.5823292989536842,0.6544533980243196,0.9206349206349206,0.898112946403623,0.9385192495853236,grid
gfs_seamless,1-3,city_group,Coquimbo coast,126,0.746031746031746,0.6635293655930239,0.8139760516611199,0.873015873015873,0.8036562865176666,0.9203035396418415,grid
gfs_seamless,1-3,city_group,Coquimbo interior,441,0.7505668934240363,0.7081364873235076,0.7886697243901646,0.8820861678004536,0.8486357863090778,0.9089374867565675,grid
