subset,lead_days,n,tied_frac,rank1_frac,rank2_frac,rank3_frac,rank4_frac,below_min_frac,inside_frac,above_max_frac,inside_wilson_lo,inside_wilson_hi,truth
wet,5,302,0.1357615894039735,0.152317880794702,0.1986754966887417,0.2947019867549669,0.3543046357615894,0.10264900662251655,0.543046357615894,0.3543046357615894,0.4866747598900404,0.5983366054595186,era5
wet,6,308,0.1331168831168831,0.18181818181818182,0.22077922077922077,0.2597402597402597,0.33766233766233766,0.12987012987012986,0.5324675324675324,0.33766233766233766,0.47668859760116783,0.5874465564343098,era5
all,1,438,0.3675799086757991,0.23972602739726026,0.2534246575342466,0.23972602739726026,0.2671232876712329,0.1415525114155251,0.6735159817351598,0.18493150684931506,0.6282573923899593,0.7157574051006401,gauge
all,2,438,0.363013698630137,0.2328767123287671,0.2671232876712329,0.2420091324200913,0.2579908675799087,0.1506849315068493,0.6506849315068494,0.19863013698630136,0.6049017452803499,0.693847947277276,gauge
all,3,438,0.363013698630137,0.2694063926940639,0.2465753424657534,0.23515981735159816,0.24885844748858446,0.15753424657534246,0.639269406392694,0.20319634703196346,0.5932658903163284,0.6828512497748105,gauge
all,4,438,0.3561643835616438,0.2602739726027397,0.21232876712328766,0.2328767123287671,0.2945205479452055,0.1598173515981735,0.6187214611872146,0.22146118721461186,0.5723894605271419,0.6629890851243209,gauge
all,5,438,0.3447488584474886,0.23515981735159816,0.2328767123287671,0.24429223744292236,0.2876712328767123,0.1187214611872146,0.6415525114155252,0.23972602739726026,0.5955908699169375,0.6850527806674988,gauge
all,6,438,0.3447488584474886,0.22146118721461186,0.24885844748858446,0.2511415525114155,0.2785388127853881,0.1324200913242009,0.6461187214611872,0.22146118721461186,0.6002441068263374,0.6894525647446935,gauge
wet,1,273,0.10989010989010989,0.27106227106227104,0.2893772893772894,0.2673992673992674,0.17216117216117216,0.2271062271062271,0.6007326007326007,0.17216117216117216,0.5416273021234365,0.6570423632592434,gauge
wet,2,273,0.10989010989010989,0.2893772893772894,0.28205128205128205,0.23076923076923078,0.1978021978021978,0.24175824175824176,0.5604395604395604,0.1978021978021978,0.501128502715598,0.61807329651401,gauge
wet,3,283,0.13427561837455831,0.3003533568904594,0.24381625441696114,0.254416961130742,0.20141342756183744,0.24381625441696114,0.5547703180212014,0.20141342756183744,0.4965178474976937,0.6115557905353242,gauge
wet,4,288,0.1111111111111111,0.2916666666666667,0.21875,0.24305555555555555,0.2465277777777778,0.24305555555555555,0.5104166666666666,0.2465277777777778,0.45292715634221115,0.5676319514110174,gauge
wet,5,306,0.14052287581699346,0.22549019607843138,0.238562091503268,0.27124183006535946,0.2647058823529412,0.16993464052287582,0.565359477124183,0.2647058823529412,0.5093474255704091,0.619750856320022,gauge
wet,6,311,0.15112540192926044,0.2347266881028939,0.27009646302250806,0.2572347266881029,0.2379421221864952,0.1864951768488746,0.5755627009646302,0.2379421221864952,0.5200376611518301,0.6292438221922053,gauge
