window,city,n_days,station_mm,n_gauges,grid_mm,era5_mm,best_match_lead1_mm,best_match_lead5_mm,ecmwf_ifs025_lead1_mm,ecmwf_ifs025_lead5_mm,gfs_seamless_lead1_mm,gfs_seamless_lead5_mm,icon_seamless_lead1_mm,icon_seamless_lead5_mm,grid_over_station,era5_over_station,gauge_elev_m,cell_elev_m,gauge_dist_km,excess_pc,log_ratio,lat,coastal
2026-07-16..2026-07-21,osorno,6,27.8,1,35.2,37.3,35.6,23.9,43.49999999999999,21.6,45.49999999999999,18.3,48.0,26.5,1.2661870503597124,1.3417266187050358,53.0,36.0,2.5,26.618705035971235,0.23601006190746013,-40.574,False
2026-07-16..2026-07-21,ovalle,6,212.275,4,305.9,397.0,301.20000000000005,231.5,338.7,259.8,203.7,74.60000000000001,189.2,157.3,1.4410552349546577,1.870215522317748,315.5,254.0,11.7,44.10552349546577,0.3653756472714305,-30.598,False
2026-07-16..2026-07-21,puerto_montt,6,30.700000000000003,3,28.7,31.9,29.7,13.1,28.8,6.6,48.9,24.7,45.8,22.90000000000001,0.9348534201954396,1.0390879478827362,86.66666666666667,10.0,10.566666666666668,-6.51465798045604,-0.0673655318275762,-41.469,True
2026-07-16..2026-07-21,rancagua,6,93.0,2,171.29999999999998,183.1,170.39999999999998,205.7,184.5,202.20000000000005,304.90000000000003,166.6,252.7,161.1,1.841935483870968,1.9688172043010752,833.5,505.0,9.2,84.19354838709681,0.6108169121768184,-34.171,False
2026-07-16..2026-07-21,salamanca,6,286.50000000000006,3,308.8,322.99999999999994,271.6,256.5,249.3,281.1,230.3,83.9,147.9,133.5,1.0778359511343802,1.12739965095986,584.0,507.0,25.3,7.783595113438024,0.07495528199582666,-31.779,False
2026-07-16..2026-07-21,santiago,6,119.95333333333332,6,138.10000000000002,148.8,134.29999999999998,120.5,192.3,174.9,186.3,79.30000000000001,121.4,132.0,1.1512810537431226,1.2404824098260436,509.3333333333333,534.0,14.516666666666666,15.128105374312263,0.14087528215898373,-33.447,False
2026-07-16..2026-07-21,talca,6,136.9,1,190.0,161.8,163.0,204.80000000000004,151.20000000000002,238.8,134.1,126.1,151.3,173.09999999999997,1.3878743608473338,1.1818845872899928,119.0,100.0,7.3,38.787436084733386,0.327773339866083,-35.427,False
2026-07-16..2026-07-21,temuco,6,27.525,4,43.5,58.3,31.8,21.6,36.0,20.1,70.6,27.200000000000003,29.200000000000003,38.8,1.5803814713896458,2.1180744777475025,152.25,112.0,12.7,58.03814713896458,0.45766625548589474,-38.736,False
2026-07-16..2026-07-21,valdivia,4,45.0,1,35.099999999999994,40.1,35.8,18.9,36.6,21.3,46.1,18.0,61.39999999999999,46.7,0.7799999999999999,0.8911111111111112,15.0,12.0,1.9,-22.000000000000007,-0.24846135929849975,-39.814,True
2026-07-16..2026-07-21,valparaiso,6,229.9333333333333,3,248.9,195.0,238.6,266.3,257.4,305.1,233.7,138.60000000000002,219.30000000000004,199.2,1.0824876775877068,0.8480719048999711,175.0,8.0,11.5,8.248767758770681,0.07926179753891568,-33.046,True
2026-07-16..2026-07-21,vicuna,6,219.64,5,267.1,287.5,268.4,177.20000000000002,263.4,188.7,306.90000000000003,72.0,309.4,176.3,1.2160808595884176,1.3089601165543618,1094.0,620.0,11.1,21.608085958841762,0.19563327770524347,-30.032,False
