model,lead_days,n,mean_error_mm,q05,q16,q50,q84,q95,width68_mm,width90_mm,truth
gfs_seamless,2,441,3.0149659863945577,-12.500000000000014,-0.5,0.0,8.339999999999987,24.9,8.839999999999987,37.40000000000001,grid
gfs_seamless,3,441,2.0528344671201815,-16.200000000000003,-0.7000000000000001,0.0,8.67999999999999,25.0,9.37999999999999,41.2,grid
gfs_seamless,4,441,4.95124716553288,-7.9,-0.2199999999999988,0.0,13.519999999999998,35.4,13.739999999999997,43.3,grid
gfs_seamless,5,441,8.634240362811791,-3.9000000000000004,0.0,0.0,24.619999999999944,50.5,24.619999999999944,54.4,grid
gfs_seamless,6,441,8.907709750566895,-7.8,-0.09999999999999984,0.0,22.41999999999999,55.5,22.519999999999992,63.3,grid
gfs_seamless,7,441,9.672789115646259,-7.1000000000000005,-0.1,0.0,24.25999999999998,55.599999999999994,24.35999999999998,62.699999999999996,grid
icon_seamless,1,441,2.7002267573696144,-11.899999999999991,-0.19999999999999998,0.0,8.87999999999999,26.6,9.07999999999999,38.49999999999999,grid
icon_seamless,2,441,3.43265306122449,-13.799999999999999,-0.5599999999999994,0.0,8.9,34.2,9.459999999999999,48.0,grid
icon_seamless,3,441,2.905215419501134,-11.2,-1.8599999999999992,0.0,7.3,27.099999999999994,9.159999999999998,38.3,grid
icon_seamless,4,441,2.6807256235827666,-18.499999999999993,-3.879999999999998,0.0,11.399999999999999,38.0,15.279999999999998,56.49999999999999,grid
icon_seamless,5,441,3.6424036281179135,-9.7,-2.9,0.0,13.859999999999996,31.1,16.759999999999994,40.8,grid
icon_seamless,6,441,1.135374149659864,-23.999999999999996,-8.16,0.0,11.37999999999997,33.9,19.53999999999997,57.89999999999999,grid
best_match,1,441,1.4276643990929705,-8.0,-1.0599999999999994,0.0,5.179999999999989,17.0,6.239999999999989,25.0,era5
best_match,2,441,1.0276643990929706,-12.900000000000002,-1.4599999999999995,0.0,6.119999999999993,17.299999999999997,7.579999999999993,30.2,era5
best_match,3,441,1.087074829931973,-14.599999999999998,-2.5000000000000004,0.0,5.999999999999983,21.599999999999994,8.499999999999984,36.19999999999999,era5
best_match,4,441,1.4723356009070294,-18.2,-4.300000000000001,0.0,8.0,26.2,12.3,44.4,era5
best_match,5,441,1.9213151927437642,-16.5,-4.659999999999999,0.0,9.059999999999995,25.0,13.719999999999995,41.5,era5
best_match,6,441,1.4154195011337867,-26.2,-8.260000000000002,0.0,10.719999999999994,37.1,18.979999999999997,63.3,era5
best_match,7,441,1.8750566893424032,-31.2,-7.619999999999998,0.0,15.100000000000001,36.2,22.72,67.4,era5
ecmwf_ifs025,1,441,0.3886621315192742,-10.600000000000001,-2.5000000000000004,0.0,2.8600000000000003,13.199999999999996,5.360000000000001,23.799999999999997,era5
ecmwf_ifs025,2,441,0.7131519274376418,-12.5,-2.0000000000000004,0.0,4.699999999999999,15.0,6.699999999999999,27.5,era5
ecmwf_ifs025,3,441,0.5839002267573695,-16.1,-4.359999999999998,0.0,4.659999999999996,19.299999999999997,9.019999999999992,35.4,era5
ecmwf_ifs025,4,441,1.249886621315193,-18.499999999999993,-5.299999999999995,0.0,7.7,26.400000000000006,12.999999999999996,44.9,era5
ecmwf_ifs025,5,441,1.0151927437641723,-18.299999999999997,-5.659999999999999,0.0,7.719999999999994,24.6,13.379999999999994,42.9,era5
ecmwf_ifs025,6,441,0.9777777777777779,-26.299999999999997,-9.56,0.0,10.659999999999995,37.3,20.219999999999995,63.599999999999994,era5
ecmwf_ifs025,7,441,1.5029478458049883,-33.3,-8.539999999999997,0.0,14.719999999999994,36.199999999999996,23.25999999999999,69.5,era5
gfs_seamless,1,441,2.784580498866213,-9.599999999999998,-0.30000000000000004,0.0,7.539999999999986,27.000000000000007,7.839999999999986,36.60000000000001,era5
gfs_seamless,2,441,3.253968253968254,-9.100000000000001,-0.7200000000000002,0.0,7.219999999999993,26.4,7.939999999999992,35.5,era5
gfs_seamless,3,441,2.2918367346938777,-15.000000000000002,-0.3999999999999986,0.0,10.89999999999998,23.0,11.29999999999998,38.0,era5
gfs_seamless,4,441,5.190249433106576,-9.2,-0.059999999999999436,0.0,14.679999999999993,34.8,14.739999999999991,44.0,era5
gfs_seamless,5,441,8.873242630385487,-5.6000000000000005,0.0,0.1,25.59999999999998,51.199999999999996,25.59999999999998,56.8,era5
gfs_seamless,6,441,9.14671201814059,-7.8,0.0,0.0,26.9,56.2,26.9,64.0,era5
gfs_seamless,7,441,9.911791383219956,-7.5,-0.2599999999999994,0.0,27.059999999999977,59.800000000000004,27.319999999999975,67.30000000000001,era5
icon_seamless,1,441,2.9392290249433106,-12.599999999999998,-0.5,0.0,8.0,34.8,8.5,47.39999999999999,era5
icon_seamless,2,441,3.6716553287981863,-13.800000000000002,-0.6,0.0,8.07999999999999,36.1,8.679999999999989,49.900000000000006,era5
icon_seamless,3,441,3.1442176870748297,-12.800000000000004,-1.660000000000003,0.0,9.299999999999999,31.799999999999997,10.960000000000003,44.6,era5
icon_seamless,4,441,2.9197278911564624,-18.2,-2.7799999999999985,0.0,13.059999999999995,33.999999999999986,15.839999999999993,52.19999999999999,era5
icon_seamless,5,441,3.88140589569161,-14.900000000000002,-2.7799999999999985,0.0,15.0,34.900000000000006,17.779999999999998,49.80000000000001,era5
icon_seamless,6,441,1.37437641723356,-20.0,-8.079999999999998,0.0,10.819999999999995,29.799999999999997,18.89999999999999,49.8,era5
best_match,1,438,-2.079160676233964,-20.095325000000003,-7.054,0.0,0.20799999999999844,10.267499999999993,7.261999999999999,30.362824999999994,gauge
best_match,2,438,-2.483726886279626,-19.953750000000003,-6.963199999999998,0.0,0.3,8.930000000000012,7.263199999999998,28.883750000000013,gauge
best_match,3,438,-2.418201772124374,-26.448659999999993,-10.57,0.0,1.7053333333333334,13.484999999999992,12.275333333333334,39.93365999999999,gauge
best_match,4,438,-2.012950630571863,-28.4375,-10.904,0.0,2.653062857142854,18.0,13.557062857142853,46.4375,gauge
best_match,5,438,-1.5323570232659274,-26.958750000000002,-8.342666666666664,0.0,2.6559999999999904,18.26499999999999,10.998666666666654,45.223749999999995,gauge
best_match,6,438,-2.002448347466841,-29.819999999999997,-11.409999999999993,0.0,4.102666666666666,20.644999999999996,15.512666666666659,50.46499999999999,gauge
best_match,7,438,-1.6241378451837356,-33.5975,-11.508,0.0,7.919999999999996,21.182499999999987,19.427999999999997,54.77999999999999,gauge
