gridded,city,n,n_gauges,station_mean_mm,gridded_mean_mm,bias_mm,bias_pc,mae_mm,pearson_r,pearson_r_sqrt,spearman
grid,vicuna,21,5,10.517142857142856,12.785714285714286,2.268571428571429,21.570225482205927,3.5714285714285707,0.9555316179302907,0.9692213277847139,0.865466549432434
era5,(pooled),438,7,10.74755165253316,14.263698630136986,3.5161469776038263,32.715795106461144,5.384611382909328,0.8981909981025158,0.9462070538697105,0.880005367892951
era5,andacollo,21,6,12.157142857142858,18.238095238095237,6.080952380952381,50.019584802193485,6.1039682539682545,0.9798334086963343,0.9913703401780531,0.8428153769112021
era5,chillan,21,2,9.595238095238093,19.338095238095235,9.742857142857144,101.53846153846153,9.8,0.9614787511251474,0.952695853644005,0.9229820722358641
era5,combarbala,21,2,14.47857142857143,20.400000000000002,5.921428571428571,40.897878638381854,5.921428571428571,0.9753057606792382,0.9822385612936448,0.9113599986099942
era5,concepcion,21,1,10.80952380952381,10.528571428571427,-0.2809523809523813,-2.5991189427312933,3.0619047619047617,0.9301147594117267,0.9361890391923383,0.9133633526197955
era5,coquimbo,21,7,8.689210884353743,13.899999999999999,5.210789115646257,59.96849639164681,5.232054421768706,0.9723381603070997,0.9883825885872932,0.7860603876811456
era5,curico,20,1,10.41,11.645000000000001,1.2350000000000003,11.863592699327597,3.9549999999999996,0.9322729998158129,0.9368806155072048,0.8296437355274102
era5,illapel,21,3,12.649206349206352,15.180952380952379,2.531746031746031,20.015058351110504,4.341269841269841,0.931828773141195,0.9674528656928849,0.8851873167436476
era5,la_serena,21,7,8.689210884353743,13.899999999999999,5.210789115646257,59.96849639164681,5.232054421768706,0.9723381603070997,0.9883825885872932,0.7860603876811456
era5,los_vilos,21,2,7.7285714285714295,12.771428571428574,5.042857142857143,65.24953789279115,5.1190476190476195,0.9078555075195186,0.9592539119461256,0.7420342382405234
era5,monte_patria,21,5,12.423528571428571,19.276190476190475,6.852661904761904,55.15874065377486,6.873499999999997,0.9793273585847664,0.992219121550815,0.8520680085762934
era5,osorno,21,1,10.985714285714286,10.971428571428572,-0.01428571428571432,-0.13003901170350884,2.623809523809524,0.9669606690845256,0.9723409447305396,0.9572174778021947
era5,ovalle,21,4,10.179761904761904,18.96190476190476,8.782142857142858,86.2706116243714,8.858333333333333,0.9445777184191768,0.9807630944645742,0.8753481846305207
era5,puerto_montt,21,3,8.862698412698412,12.404761904761907,3.5420634920634932,39.9659711650399,4.107142857142857,0.9261757569647198,0.9654998650609816,0.9508006347655151
era5,rancagua,21,2,7.807142857142857,11.333333333333332,3.526190476190476,45.16620921012504,6.7214285714285715,0.8339608107839972,0.8201524723148079,0.7763300816055857
era5,salamanca,21,3,13.687301587301587,15.985714285714286,2.2984126984126982,16.792299663690137,3.2095238095238092,0.9716216955179625,0.976080431048074,0.8775340049647581
era5,santiago,21,6,6.20047619047619,7.880952380952382,1.6804761904761905,27.102373089624486,3.7334920634920636,0.8728554288671534,0.9270385360086043,0.8873347512087462
era5,talca,21,1,9.49047619047619,12.957142857142859,3.4666666666666672,36.52784746613149,6.6952380952380945,0.8141447743523841,0.775379316685386,0.760563350701272
era5,temuco,21,4,6.348809523809525,13.3,6.951190476190478,109.48809300581286,7.041666666666667,0.8845725163671668,0.915397523371674,0.9205800328420188
era5,valdivia,19,1,24.02631578947368,17.468421052631577,-6.5578947368421066,-27.294633077765607,7.62105263157895,0.9612298001843471,0.973111211646265,0.9188028678442772
era5,valparaiso,21,3,11.211111111111112,9.533333333333335,-1.6777777777777778,-14.965312190287406,3.4984126984126984,0.9734109168433105,0.9632932920159251,0.7463046161138256
era5,vicuna,21,5,10.517142857142856,13.742857142857144,3.225714285714287,30.671013311600138,3.4714285714285715,0.992455542471722,0.9899764442598881,0.8514675662351442
