metric,model,lead_days,truth_a,truth_b,n,n_cities,n_dates,value_grid,value_gauge,difference,bootstrap_se,sigma,verdict,sign_flip,value_era5
mae_mm,ecmwf_ifs025,2,grid,gauge,438,21,21,4.134018264840183,5.3276109915198955,-1.1935927266797126,0.6185721817551918,1.929593282538032,robust,False,
bias_mm,ecmwf_ifs025,2,grid,gauge,438,21,21,-0.4646118721461187,2.8024483474668402,-3.267060219612959,1.036926287820345,3.1507159746913476,shifted,True,
pod,ecmwf_ifs025,2,grid,gauge,438,21,21,0.8940397350993378,0.96875,-0.07471026490066224,0.028868299124043283,2.587969058365443,shifted,False,
far,ecmwf_ifs025,2,grid,gauge,438,21,21,0.08783783783783784,0.16216216216216217,-0.07432432432432433,0.03028641659591256,2.454048140325558,shifted,False,
mae_mm,ecmwf_ifs025,3,grid,gauge,438,21,21,5.394520547945206,6.328354848880191,-0.9338343009349854,0.5767843913388357,1.6190353188430828,robust,False,
bias_mm,ecmwf_ifs025,3,grid,gauge,438,21,21,-0.34063926940639255,2.926420950206566,-3.267060219612959,1.0197136965365647,3.203899516805018,shifted,True,
pod,ecmwf_ifs025,3,grid,gauge,438,21,21,0.9006622516556292,0.9375,-0.03683774834437081,0.016518028396952336,2.2301540752386386,shifted,False,
far,ecmwf_ifs025,3,grid,gauge,438,21,21,0.1111111111111111,0.21568627450980393,-0.10457516339869283,0.03800150740389783,2.7518688216027587,shifted,False,
mae_mm,ecmwf_ifs025,4,grid,gauge,438,21,21,7.445205479452055,7.803558980213089,-0.35835350076103456,0.7133880979537461,0.502326155691301,robust,False,
bias_mm,ecmwf_ifs025,4,grid,gauge,438,21,21,-1.0242009132420091,2.24285930637095,-3.2670602196129592,1.0237516214915574,3.1912625592260433,shifted,True,
pod,ecmwf_ifs025,4,grid,gauge,438,21,21,0.8079470198675497,0.796875,0.011072019867549687,0.0260391346794765,0.4252069050618806,robust,False,
far,ecmwf_ifs025,4,grid,gauge,438,21,21,0.1527777777777778,0.2916666666666667,-0.1388888888888889,0.04346473402799037,3.1954386008539104,shifted,False,
mae_mm,ecmwf_ifs025,5,grid,gauge,438,21,21,7.278767123287672,7.250880006523158,0.027887116764514275,0.49005454494950357,0.05690614861532981,robust,False,
bias_mm,ecmwf_ifs025,5,grid,gauge,438,21,21,-0.8111872146118723,2.455873005001087,-3.2670602196129592,1.0181577391937775,3.2087957433785874,shifted,True,
pod,ecmwf_ifs025,5,grid,gauge,438,21,21,0.847682119205298,0.875,-0.027317880794701987,0.018392283257998864,1.4852903476691157,robust,False,
far,ecmwf_ifs025,5,grid,gauge,438,21,21,0.16339869281045752,0.2679738562091503,-0.1045751633986928,0.0336051569208678,3.11187844308963,shifted,False,
mae_mm,ecmwf_ifs025,6,grid,gauge,438,21,21,10.16027397260274,9.358602359208524,0.8016716133942161,0.6244390364639026,1.2838268695274928,robust,False,
