model,lead_group,forecast_bin,n,mean_forecast_mm,mean_observed_mm,mean_error_mm,mae_mm,q05,q16,q50,q84,q95,width68_mm,width90_mm,truth
ecmwf_ifs025,3,f >= 10,153,37.43333333333334,37.4954248366013,0.06209150326797353,13.199346405228757,-28.220000000000002,-14.483999999999998,-1.6000000000000014,14.435999999999998,28.70000000000001,28.919999999999995,56.920000000000016,grid
ecmwf_ifs025,4,f = 0,193,0.0,0.20103626943005184,0.20103626943005184,0.20103626943005184,0.0,0.0,0.0,0.0,0.6,0.0,0.6,grid
ecmwf_ifs025,4,0 < f < 10,104,3.1759615384615385,10.010576923076922,6.834615384615384,8.963461538461539,-4.800000000000001,-2.352,0.24999999999999994,14.167999999999996,49.20999999999998,16.519999999999996,54.00999999999998,grid
ecmwf_ifs025,4,f >= 10,144,37.28541666666667,35.175694444444446,-2.109722222222222,15.9375,-32.239999999999995,-22.259999999999998,-2.1000000000000005,17.347999999999992,29.224999999999998,39.60799999999999,61.46499999999999,grid
ecmwf_ifs025,5,f = 0,177,0.0,0.18983050847457628,0.18983050847457628,0.18983050847457628,0.0,0.0,0.0,0.0,0.6,0.0,0.6,grid
ecmwf_ifs025,5,0 < f < 10,110,3.531818181818182,5.791818181818181,2.26,5.081818181818182,-5.1000000000000005,-3.6,-0.30000000000000004,8.736,20.12,12.336,25.220000000000002,grid
ecmwf_ifs025,5,f >= 10,154,35.15844155844156,35.548701298701296,0.3902597402597402,16.93831168831169,-34.97,-19.151999999999997,-0.29999999999999716,21.419999999999977,37.9,40.571999999999974,72.87,grid
ecmwf_ifs025,6,f = 0,178,0.0,0.3668539325842696,0.3668539325842696,0.3668539325842696,0.0,0.0,0.0,0.1,1.1300000000000012,0.1,1.1300000000000012,grid
ecmwf_ifs025,6,0 < f < 10,90,3.8500000000000014,8.824444444444444,4.974444444444444,8.112222222222222,-6.164999999999999,-3.952,-0.2500000000000001,16.38399999999999,30.455,20.33599999999999,36.62,grid
ecmwf_ifs025,6,f >= 10,173,31.63526011560694,30.553179190751443,-1.0820809248554926,21.294797687861273,-38.2,-24.092,-2.8999999999999986,23.27999999999999,51.13999999999999,47.371999999999986,89.34,grid
ecmwf_ifs025,7,f = 0,172,0.0,0.4598837209302326,0.4598837209302326,0.4598837209302326,0.0,0.0,0.0,0.3279999999999973,1.4449999999999987,0.3279999999999973,1.4449999999999987,grid
ecmwf_ifs025,7,0 < f < 10,109,3.985321100917431,9.595412844036696,5.610091743119267,9.092660550458714,-7.42,-4.716,0.2999999999999998,18.916,29.13999999999995,23.632,36.55999999999995,grid
ecmwf_ifs025,7,f >= 10,160,32.208749999999995,31.37625,-0.8325000000000002,22.259999999999998,-40.209999999999994,-32.300000000000004,-0.7999999999999998,27.355999999999998,46.64499999999995,59.656000000000006,86.85499999999995,grid
ecmwf_ifs025,1-3,f = 0,615,0.0,0.1686178861788618,0.1686178861788618,0.1686178861788618,0.0,0.0,0.0,0.0,0.6,0.0,0.6,grid
ecmwf_ifs025,1-3,0 < f < 10,256,2.89921875,4.261328125,1.3621093750000002,2.957421875,-3.8249999999999997,-1.5,-5.551115123125783e-17,4.3999999999999995,9.850000000000001,5.8999999999999995,13.675,grid
ecmwf_ifs025,1-3,f >= 10,452,38.1995575221239,38.14380530973451,-0.05575221238938085,10.889823008849557,-22.0,-11.7,-1.8500000000000005,12.267999999999992,25.134999999999998,23.96799999999999,47.135,grid
ecmwf_ifs025,4-7,f = 0,720,0.0,0.3011111111111111,0.3011111111111111,0.3011111111111111,0.0,0.0,0.0,0.0,1.0,0.0,1.0,grid
ecmwf_ifs025,4-7,0 < f < 10,413,3.6312348668280867,8.518886198547216,4.887651331719128,7.77820823244552,-6.9,-3.6,-0.20000000000000007,15.308,30.439999999999998,18.908,37.339999999999996,grid
