model,lead_days,n,hits,misses,false_alarms,base_rate,pod,far,csi,threshold_mm,truth
gfs_seamless,6,441,79,72,20,0.3424036281179138,0.5231788079470199,0.20202020202020202,0.4619883040935672,10.0,grid
gfs_seamless,7,441,50,101,17,0.3424036281179138,0.33112582781456956,0.2537313432835821,0.2976190476190476,10.0,grid
icon_seamless,1,441,126,25,7,0.3424036281179138,0.8344370860927153,0.05263157894736842,0.7974683544303798,10.0,grid
icon_seamless,2,441,113,38,11,0.3424036281179138,0.7483443708609272,0.08870967741935484,0.6975308641975309,10.0,grid
icon_seamless,3,441,119,32,12,0.3424036281179138,0.7880794701986755,0.0916030534351145,0.7300613496932515,10.0,grid
icon_seamless,4,441,115,36,21,0.3424036281179138,0.7615894039735099,0.15441176470588236,0.6686046511627907,10.0,grid
icon_seamless,5,441,107,44,28,0.3424036281179138,0.7086092715231788,0.2074074074074074,0.5977653631284916,10.0,grid
icon_seamless,6,441,119,32,53,0.3424036281179138,0.7880794701986755,0.3081395348837209,0.5833333333333334,10.0,grid
best_match,1,441,97,16,11,0.2562358276643991,0.8584070796460177,0.10185185185185185,0.782258064516129,20.0,grid
best_match,2,441,99,14,14,0.2562358276643991,0.8761061946902655,0.12389380530973451,0.7795275590551181,20.0,grid
best_match,3,441,92,21,17,0.2562358276643991,0.8141592920353983,0.1559633027522936,0.7076923076923077,20.0,grid
best_match,4,441,80,33,22,0.2562358276643991,0.7079646017699115,0.21568627450980393,0.5925925925925926,20.0,grid
best_match,5,441,78,35,20,0.2562358276643991,0.6902654867256637,0.20408163265306123,0.5864661654135338,20.0,grid
best_match,6,441,70,43,35,0.2562358276643991,0.6194690265486725,0.3333333333333333,0.47297297297297297,20.0,grid
best_match,7,441,66,47,43,0.2562358276643991,0.584070796460177,0.3944954128440367,0.4230769230769231,20.0,grid
ecmwf_ifs025,1,441,100,13,14,0.2562358276643991,0.8849557522123894,0.12280701754385964,0.7874015748031497,20.0,grid
ecmwf_ifs025,2,441,101,12,13,0.2562358276643991,0.8938053097345132,0.11403508771929824,0.8015873015873016,20.0,grid
ecmwf_ifs025,3,441,91,22,20,0.2562358276643991,0.8053097345132744,0.18018018018018017,0.6842105263157895,20.0,grid
ecmwf_ifs025,4,441,76,37,23,0.2562358276643991,0.672566371681416,0.23232323232323232,0.5588235294117647,20.0,grid
ecmwf_ifs025,5,441,82,31,25,0.2562358276643991,0.7256637168141593,0.2336448598130841,0.5942028985507246,20.0,grid
ecmwf_ifs025,6,441,67,46,46,0.2562358276643991,0.5929203539823009,0.40707964601769914,0.42138364779874216,20.0,grid
ecmwf_ifs025,7,441,69,44,46,0.2562358276643991,0.6106194690265486,0.4,0.4339622641509434,20.0,grid
gfs_seamless,1,441,87,26,10,0.2562358276643991,0.7699115044247787,0.10309278350515463,0.7073170731707317,20.0,grid
gfs_seamless,2,441,83,30,14,0.2562358276643991,0.7345132743362832,0.14432989690721648,0.6535433070866141,20.0,grid
gfs_seamless,3,441,81,32,14,0.2562358276643991,0.7168141592920354,0.14736842105263157,0.6377952755905512,20.0,grid
gfs_seamless,4,441,64,49,10,0.2562358276643991,0.5663716814159292,0.13513513513513514,0.5203252032520326,20.0,grid
gfs_seamless,5,441,29,84,9,0.2562358276643991,0.25663716814159293,0.23684210526315788,0.23770491803278687,20.0,grid
gfs_seamless,6,441,15,98,15,0.2562358276643991,0.13274336283185842,0.5,0.1171875,20.0,grid
gfs_seamless,7,441,13,100,8,0.2562358276643991,0.11504424778761062,0.38095238095238093,0.10743801652892562,20.0,grid
icon_seamless,1,441,79,34,6,0.2562358276643991,0.6991150442477876,0.07058823529411765,0.6638655462184874,20.0,grid
icon_seamless,2,441,71,42,12,0.2562358276643991,0.6283185840707964,0.14457831325301204,0.568,20.0,grid
icon_seamless,3,441,82,31,13,0.2562358276643991,0.7256637168141593,0.1368421052631579,0.6507936507936508,20.0,grid
icon_seamless,4,441,74,39,23,0.2562358276643991,0.6548672566371682,0.23711340206185566,0.5441176470588235,20.0,grid
icon_seamless,5,441,70,43,17,0.2562358276643991,0.6194690265486725,0.19540229885057472,0.5384615384615384,20.0,grid
icon_seamless,6,441,79,34,38,0.2562358276643991,0.6991150442477876,0.3247863247863248,0.5231788079470199,20.0,grid
best_match,1,441,189,20,14,0.47392290249433106,0.9043062200956937,0.06896551724137931,0.8475336322869955,1.0,era5
best_match,2,441,187,22,12,0.47392290249433106,0.8947368421052632,0.06030150753768844,0.8461538461538461,1.0,era5
best_match,3,441,188,21,20,0.47392290249433106,0.8995215311004785,0.09615384615384616,0.8209606986899564,1.0,era5
best_match,4,441,193,16,25,0.47392290249433106,0.9234449760765551,0.11467889908256881,0.8247863247863247,1.0,era5
best_match,5,441,187,22,43,0.47392290249433106,0.8947368421052632,0.18695652173913044,0.7420634920634921,1.0,era5
