model,lead_days,n,hits,misses,false_alarms,base_rate,pod,far,csi,threshold_mm,truth
gfs_seamless,1,438,71,12,26,0.18949771689497716,0.8554216867469879,0.26804123711340205,0.6513761467889908,20.0,gauge
gfs_seamless,2,438,66,17,31,0.18949771689497716,0.7951807228915663,0.31958762886597936,0.5789473684210527,20.0,gauge
gfs_seamless,3,438,64,19,31,0.18949771689497716,0.7710843373493976,0.3263157894736842,0.5614035087719298,20.0,gauge
gfs_seamless,4,438,54,29,20,0.18949771689497716,0.6506024096385542,0.2702702702702703,0.5242718446601942,20.0,gauge
gfs_seamless,5,438,27,56,11,0.18949771689497716,0.3253012048192771,0.2894736842105263,0.2872340425531915,20.0,gauge
gfs_seamless,6,438,14,69,16,0.18949771689497716,0.1686746987951807,0.5333333333333333,0.1414141414141414,20.0,gauge
gfs_seamless,7,438,12,71,9,0.18949771689497716,0.14457831325301204,0.42857142857142855,0.13043478260869565,20.0,gauge
icon_seamless,1,438,66,17,19,0.18949771689497716,0.7951807228915663,0.2235294117647059,0.6470588235294118,20.0,gauge
icon_seamless,2,438,58,25,25,0.18949771689497716,0.6987951807228916,0.30120481927710846,0.5370370370370371,20.0,gauge
icon_seamless,3,438,66,17,29,0.18949771689497716,0.7951807228915663,0.30526315789473685,0.5892857142857143,20.0,gauge
icon_seamless,4,438,56,27,41,0.18949771689497716,0.6746987951807228,0.422680412371134,0.45161290322580644,20.0,gauge
icon_seamless,5,438,55,28,30,0.18949771689497716,0.6626506024096386,0.35294117647058826,0.48672566371681414,20.0,gauge
icon_seamless,6,438,59,24,57,0.18949771689497716,0.7108433734939759,0.49137931034482757,0.42142857142857143,20.0,gauge
