model,lead_days,n,mae_mm,k,band_half_width_mm,coverage,wilson_lo,wilson_hi,gaussian_reference,truth
ecmwf_ifs025,3,441,5.367120181405895,1,5.367120181405895,0.7006802721088435,0.6563548101472453,0.7415397576053339,0.5750625163166379,grid
ecmwf_ifs025,3,441,5.367120181405895,2,10.73424036281179,0.8253968253968254,0.7871971872933587,0.8579764903619531,0.889459650277264,grid
ecmwf_ifs025,4,441,7.405895691609977,1,7.405895691609977,0.7120181405895691,0.6680676412040957,0.7523068456305501,0.5750625163166379,grid
ecmwf_ifs025,4,441,7.405895691609977,2,14.811791383219955,0.81859410430839,0.7799272366873733,0.8517584895186987,0.889459650277264,grid
ecmwf_ifs025,5,441,7.25873015873016,1,7.25873015873016,0.7074829931972789,0.6633787534129156,0.7480037657889036,0.5750625163166379,grid
ecmwf_ifs025,5,441,7.25873015873016,2,14.51746031746032,0.8095238095238095,0.7702625633224687,0.8434392276179501,0.889459650277264,grid
ecmwf_ifs025,6,441,10.15736961451247,1,10.15736961451247,0.6825396825396826,0.6376778608129143,0.7242488364083584,0.5750625163166379,grid
ecmwf_ifs025,6,441,10.15736961451247,2,20.31473922902494,0.8117913832199547,0.7726757539145732,0.8455220208422589,0.889459650277264,grid
ecmwf_ifs025,7,441,10.502947845804988,1,10.502947845804988,0.6848072562358276,0.6400083051815932,0.7264143758560926,0.5750625163166379,grid
ecmwf_ifs025,7,441,10.502947845804988,2,21.005895691609975,0.800453514739229,0.7606289500311758,0.8350889056435895,0.889459650277264,grid
gfs_seamless,1,441,6.080725623582766,1,6.080725623582766,0.7324263038548753,0.6892316708087304,0.7716066703736354,0.5750625163166379,grid
gfs_seamless,1,441,6.080725623582766,2,12.161451247165532,0.8299319727891157,0.7920544905593555,0.8621111547287833,0.889459650277264,grid
gfs_seamless,2,441,6.240362811791384,1,6.240362811791384,0.7142857142857143,0.6704139884753499,0.7544564821757092,0.5750625163166379,grid
gfs_seamless,2,441,6.240362811791384,2,12.480725623582767,0.8299319727891157,0.7920544905593555,0.8621111547287833,0.889459650277264,grid
gfs_seamless,3,441,6.75578231292517,1,6.75578231292517,0.7188208616780045,0.6751105345334243,0.7587519037504615,0.5750625163166379,grid
gfs_seamless,3,441,6.75578231292517,2,13.51156462585034,0.81859410430839,0.7799272366873733,0.8517584895186987,0.889459650277264,grid
gfs_seamless,4,441,7.3244897959183675,1,7.3244897959183675,0.7052154195011338,0.6610361955765948,0.7458503398088111,0.5750625163166379,grid
