model,lead_days,n,hits,misses,false_alarms,base_rate,pod,far,csi,threshold_mm
best_match,2,300,76,7,9,0.27666666666666667,0.9156626506024096,0.10588235294117647,0.8260869565217391,20.0
best_match,3,300,67,16,13,0.27666666666666667,0.8072289156626506,0.1625,0.6979166666666666,20.0
best_match,4,300,59,24,18,0.27666666666666667,0.7108433734939759,0.23376623376623376,0.5841584158415841,20.0
best_match,5,300,61,22,16,0.27666666666666667,0.7349397590361446,0.2077922077922078,0.6161616161616161,20.0
best_match,6,300,55,28,22,0.27666666666666667,0.6626506024096386,0.2857142857142857,0.5238095238095238,20.0
best_match,7,300,51,32,15,0.27666666666666667,0.6144578313253012,0.22727272727272727,0.5204081632653061,20.0
ecmwf_ifs025,1,300,77,6,10,0.27666666666666667,0.927710843373494,0.11494252873563218,0.8279569892473119,20.0
ecmwf_ifs025,2,300,77,6,9,0.27666666666666667,0.927710843373494,0.10465116279069768,0.8369565217391305,20.0
ecmwf_ifs025,3,300,69,14,15,0.27666666666666667,0.8313253012048193,0.17857142857142858,0.7040816326530612,20.0
ecmwf_ifs025,4,300,56,27,19,0.27666666666666667,0.6746987951807228,0.25333333333333335,0.5490196078431373,20.0
ecmwf_ifs025,5,300,64,19,19,0.27666666666666667,0.7710843373493976,0.2289156626506024,0.6274509803921569,20.0
ecmwf_ifs025,6,300,53,30,32,0.27666666666666667,0.6385542168674698,0.3764705882352941,0.4608695652173913,20.0
ecmwf_ifs025,7,300,54,29,17,0.27666666666666667,0.6506024096385542,0.23943661971830985,0.54,20.0
gfs_seamless,1,300,67,16,7,0.27666666666666667,0.8072289156626506,0.0945945945945946,0.7444444444444445,20.0
gfs_seamless,2,300,66,17,11,0.27666666666666667,0.7951807228915663,0.14285714285714285,0.7021276595744681,20.0
gfs_seamless,3,300,64,19,10,0.27666666666666667,0.7710843373493976,0.13513513513513514,0.6881720430107527,20.0
gfs_seamless,4,300,52,31,7,0.27666666666666667,0.6265060240963856,0.11864406779661017,0.5777777777777777,20.0
gfs_seamless,5,300,23,60,5,0.27666666666666667,0.27710843373493976,0.17857142857142858,0.26136363636363635,20.0
gfs_seamless,6,300,12,71,2,0.27666666666666667,0.14457831325301204,0.14285714285714285,0.1411764705882353,20.0
gfs_seamless,7,300,12,71,3,0.27666666666666667,0.14457831325301204,0.2,0.13953488372093023,20.0
icon_seamless,1,300,65,18,6,0.27666666666666667,0.7831325301204819,0.08450704225352113,0.7303370786516854,20.0
icon_seamless,2,300,58,25,9,0.27666666666666667,0.6987951807228916,0.13432835820895522,0.6304347826086957,20.0
icon_seamless,3,300,61,22,9,0.27666666666666667,0.7349397590361446,0.12857142857142856,0.6630434782608695,20.0
icon_seamless,4,300,54,29,19,0.27666666666666667,0.6506024096385542,0.2602739726027397,0.5294117647058824,20.0
icon_seamless,5,300,56,27,13,0.27666666666666667,0.6746987951807228,0.18840579710144928,0.5833333333333334,20.0
icon_seamless,6,300,59,24,26,0.27666666666666667,0.7108433734939759,0.3058823529411765,0.5412844036697247,20.0
